cycle,state,district,dem_pct,rep_pct,dem_margin,winner
2024,ME,1,58.7,36.39,23.46,D
2024,NV,2,0.0,55.04,-100.0,R
2024,NV,3,51.37,48.63,2.74,D
2024,MO,3,35.3,61.31,-26.93,R
2024,MO,4,26.41,71.07,-45.82,R
2024,MO,5,60.22,36.44,24.6,D
2024,MO,8,21.81,76.18,-55.49,R
2024,PA,2,71.46,28.54,42.92,D
2024,PA,7,49.5,50.5,-1.01,R
2024,IA,4,32.68,67.02,-34.44,R
2024,CT,4,61.06,37.34,24.1,D
2024,AZ,8,43.5,56.5,-13.0,R
2024,AZ,3,70.94,26.58,45.49,D
2024,AZ,2,45.51,54.48,-8.97,R
2024,WI,8,42.64,57.29,-14.66,R
2024,WI,7,36.37,63.56,-27.21,R
2024,WI,1,43.81,54.01,-10.42,R
2024,WA,10,58.54,41.23,17.35,D
2024,WA,9,65.44,32.44,33.72,D
2024,VA,11,66.68,32.86,33.97,D
2024,VA,10,52.09,47.54,4.57,D
2024,UT,3,33.61,66.39,-32.77,R
2024,UT,1,32.06,63.13,-32.63,R
2024,TN,7,38.05,59.5,-21.99,R
2024,TN,5,39.47,56.85,-18.04,R
2024,PA,15,28.53,71.47,-42.93,R
2024,OK,4,28.27,65.25,-39.54,R
2024,OR,4,51.71,43.94,8.12,D
2024,NY,18,52.23,38.18,15.54,D
2024,NY,11,35.76,58.5,-24.13,R
2024,NY,1,44.29,48.96,-5.01,R
2024,MD,6,53.05,46.72,6.34,D
2024,MD,5,67.75,32.01,35.83,D
2024,MD,3,59.29,37.87,22.04,D
2024,MD,1,37.37,59.41,-22.77,R
2024,IN,3,31.42,65.05,-34.87,R
2024,IN,2,34.61,62.74,-28.9,R
2024,KY,5,0.0,100.0,-100.0,R
2024,KY,1,25.28,74.72,-49.43,R
2024,IL,9,68.39,31.61,36.78,D
2024,IL,6,54.2,45.78,8.42,D
2024,IL,3,67.26,32.7,34.58,D
2024,IL,2,67.55,32.43,35.12,D
2024,IL,16,0.0,99.94,-100.0,R
2024,IL,13,58.07,41.86,16.23,D
2024,FL,1,33.96,66.04,-32.07,R
2024,FL,3,38.39,61.61,-23.22,R
2024,FL,9,55.13,42.58,12.85,D
2024,FL,12,28.96,71.04,-42.08,R
2024,FL,16,40.52,59.48,-18.96,R
2024,FL,22,54.96,45.04,9.91,D
2024,NH,2,52.93,46.97,5.97,D
2024,SC,6,59.5,36.72,23.67,D
2024,SC,7,34.97,64.9,-29.96,R
2024,GA,2,56.33,43.67,12.66,D
2024,GA,4,75.58,24.42,51.17,D
2024,GA,6,74.67,25.31,49.37,D
2024,GA,13,71.83,28.17,43.67,D
2024,LA,4,0.0,85.82,-100.0,R
2024,OK,1,34.53,60.43,-27.27,R
2024,AR,1,24.0,72.88,-50.46,R
2024,AR,3,31.77,63.8,-33.52,R
2024,MI,3,53.66,43.77,10.15,D
2024,MI,6,62.02,35.0,27.85,D
2024,MI,11,58.22,39.61,19.02,D
2024,TX,1,0.0,100.0,-100.0,R
2024,TX,2,34.34,65.66,-31.32,R
2024,TX,6,34.32,65.68,-31.35,R
2024,TX,8,31.78,68.22,-36.43,R
2024,TX,9,100.0,0.0,100.0,D
2024,TX,11,0.0,100.0,-100.0,R
2024,TX,13,0.0,100.0,-100.0,R
2024,TX,14,31.31,68.69,-37.38,R
2024,TX,22,37.88,62.12,-24.25,R
2024,TX,23,37.7,62.3,-24.59,R
2024,TX,28,52.81,47.19,5.63,D
2024,TX,31,35.57,64.43,-28.86,R
2024,TX,34,51.29,48.71,2.58,D
2024,TX,37,74.22,23.58,51.78,D
2024,AL,4,0.0,98.79,-100.0,R
2024,AK,1,48.78,51.22,-2.45,R
2024,ID,1,25.45,71.0,-47.23,R
2024,ID,2,30.98,61.38,-32.92,R
2024,OH,6,33.26,66.74,-33.48,R
2024,OH,8,37.19,62.81,-25.62,R
2024,OH,11,78.33,19.64,59.91,D
2024,OH,12,31.49,68.51,-37.01,R
2024,OH,14,36.58,63.42,-26.83,R
2024,NM,1,56.37,43.63,12.74,D
2024,MA,9,56.44,43.42,13.04,D
2024,MN,2,55.53,42.08,13.78,D
2024,MN,3,58.43,41.45,16.99,D
2024,MN,4,67.25,32.58,34.73,D
2024,MN,8,41.92,57.99,-16.09,R
2024,NE,3,19.58,80.42,-60.84,R
2024,GA,5,85.68,14.32,71.36,D
2024,FL,26,29.08,70.92,-41.83,R
2024,FL,28,35.43,64.57,-29.13,R
2024,SC,5,36.34,63.51,-27.22,R
2024,FL,17,36.1,63.9,-27.81,R
2024,FL,18,34.7,65.3,-30.61,R
2024,FL,23,52.45,47.55,4.89,D
2024,GA,3,33.69,66.31,-32.61,R
2024,GA,10,36.95,63.05,-26.1,R
2024,GA,9,31.0,69.0,-38.01,R
2024,PA,17,53.88,46.12,7.75,D
2024,PA,16,36.35,63.65,-27.31,R
2024,PA,12,56.41,43.59,12.82,D
2024,PA,8,49.19,50.81,-1.62,R
2024,PA,5,65.29,34.71,30.58,D
2024,MO,1,75.93,18.37,61.04,D
2024,ND,1,30.36,69.24,-39.03,R
2024,NV,4,52.66,44.57,8.32,D
2024,NE,1,39.9,60.1,-20.21,R
2024,MT,1,44.62,52.29,-7.92,R
2024,MS,2,62.02,37.98,24.03,D
2024,MS,1,30.19,69.81,-39.62,R
2024,MN,7,29.44,70.45,-41.05,R
2024,MN,5,74.37,24.56,50.35,D
2024,MA,5,98.22,0.0,100.0,D
2024,MA,3,97.47,0.0,100.0,D
2024,NM,3,56.29,43.71,12.57,D
2024,OH,10,39.22,57.64,-19.01,R
2024,TX,38,37.24,62.73,-25.5,R
2024,TX,36,30.64,69.36,-38.72,R
2024,TX,35,67.36,32.64,34.73,D
2024,TX,30,84.89,0.0,100.0,D
2024,TX,21,36.06,61.85,-26.34,R
2024,TX,17,33.65,66.35,-32.7,R
2024,TX,12,36.55,63.45,-26.91,R
2024,TX,7,61.28,38.72,22.57,D
2024,TX,3,37.55,62.45,-24.91,R
2024,MI,13,68.64,24.54,47.34,D
2024,MI,12,69.7,25.44,46.51,D
2024,MI,10,44.99,51.13,-6.38,R
2024,MI,7,46.56,50.28,-3.84,R
2024,MI,5,32.76,65.68,-33.44,R
2024,MI,4,43.36,55.07,-11.89,R
2024,MI,2,31.69,65.14,-34.54,R
2024,VT,1,62.29,29.79,35.29,D
2024,LA,6,50.78,37.74,14.72,D
2024,LA,5,25.94,62.85,-41.57,R
2024,LA,3,18.66,70.56,-58.17,R
2024,GA,12,39.68,60.32,-20.64,R
2024,RI,2,58.24,41.51,16.76,D
2024,TN,2,30.74,69.26,-38.52,R
2024,TN,3,29.36,67.51,-39.39,R
2024,TN,4,26.76,69.95,-44.66,R
2024,TN,6,32.0,68.0,-36.0,R
2024,TN,9,71.31,25.66,47.07,D
2024,UT,2,34.23,58.0,-25.78,R
2024,VA,1,43.53,56.31,-12.8,R
2024,VA,2,46.9,50.74,-3.94,R
2024,VA,4,67.34,32.44,34.98,D
